Rank,Water,Sphagnum,Sediment
1,0.2551,0.3469,0.2810
2,0.1064,0.0820,0.2069
3,0.0872,0.0732,0.1312
4,0.0718,0.0549,0.0818
5,0.0577,0.0400,0.0658
6,0.0282,0.0379,0.0320
7,0.0269,0.0312,0.0285
8,0.0269,0.0285,0.0213
9,0.0256,0.0257,0.0139
10,0.0256,0.0251,0.0115
11,0.0244,0.0244,0.0112
12,0.0244,0.0244,0.0112
13,0.0231,0.0224,0.0107
14,0.0218,0.0217,0.0104
15,0.0192,0.0196,0.0091
16,0.0179,0.0149,0.0085
17,0.0167,0.0122,0.0085
18,0.0154,0.0122,0.0077
19,0.0141,0.0115,0.0056
20,0.0141,0.0115,0.0053
21,0.0141,0.0102,0.0051
22,0.0128,0.0102,0.0048
23,0.0103,0.0095,0.0045
24,0.0103,0.0095,0.0045
25,0.0103,0.0088,0.0032
26,0.0090,0.0081,0.0032
27,0.0077,0.0061,0.0024
28,0.0051,0.0047,0.0021
29,0.0038,0.0027,0.0021
30,0.0038,0.0027,0.0013
31,0.0038,0.0020,0.0011
32,0.0026,0.0014,0.0008
33,0.0026,0.0014,0.0008
34,0.0013,0.0007,0.0005
35,0.0000,0.0007,0.0005
36,0.0000,0.0007,0.0003
37,0.0000,0.0007,0.0003
38,0.0000,0.0000,0.0003
39,0.0000,0.0000,0.0000
